Camp_Name,enum_name,enum_nub,coordinates_latitude,coordinates_longitude,governorate,district,site_typology,area,sub_site,site_name,month,camp_mngt,camp_mngmt_office,camp_mngmt_male_staff,camp_mngmt_female_staff,camp_committee,population_tracking,presence_of_camp_mobile_team,camp_mobile_team_agency,camp_distribution_announcement,plots/occupied_plots,plots/no_of_shelters,has_concrete_slabs,shelter_types,shelter_types/modm_tents,shelter_types/modm_tents_repairs,shelter_types/unhcr_tents,shelter_types/unhcr_tents_repairs,shelter_types/afad_tents,shelter_types/afad_tents_repairs,shelter_types/other_tents,shelter_types/other_tents_repairs,shelter_types/caravans,shelter_types/RHU,shelter_types/improvised_makeshift_shelter,shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),total_hh/total_families,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,ind_ages/total_population,ind_ages/vulnerabilities_groups./F_HoH,ind_ages/vulnerabilities_groups./Child_HoH,ind_ages/vulnerabilities_groups./ppl_physical_dis,ind_ages/vulnerabilities_groups./ppl_mental_dis,ind_ages/vulnerabilities_groups./ppl_chronic_disease,ind_ages/vulnerabilities_groups./elderly_at_risk,nfi_items/blankets,nfi_items/mattress,nfi_items/kitchen_nfi,nfi_items/fuel,nfi_items/oven,nfi_items/water_container,nfi_items/kerosene cooking/ fuel distribution on the camp ?,Is the camp subjected to Flood Risk?,Number of fire incidents during this year,What is the main source of electricity in the camp?,Water: Number of  litters/person/day,What is the primary method of waste disposal by families?,Number of functional latrines in the camp,Number of functional shower/bathing facilities in the camp,lightning_around_latrines,Illness_in_site,PHC,SHC,children_under_5_vaccinatedfor_poliomeasles,access_to_food,food assistance frequency,Are there movement restrictions in and out of the camp?,Are there areas where women and girls do 0t feel safe?,families_missing_documentation,distance to accessible counrts and civil registration office (kms),functioning_primary_school,functioning_secondary_school,Approximately how many school-aged children have access to formal school?,What are the primary challenges to accessing formal education (select up to 3)?,informal_education_activities_available,access_to_informal_education,Nearest market available(kms),Items not available at market,primary_livelihood_sources,how_many_earn_income_last_30_days,young_people(under_18)_work_in_last_30_days,PROTECTION,GBV,CHILD PROTECTION,EDUCATION,SHELTER,WATER,SANITATION,WASTE MANAGEMENT,NFI,PHC,SHC,MHPSS,NUTRITION,FOOD,SOCIAL COHESION,LIVELIHOOD,COMMUNICATION
Al Abrar (AAF33),Tasneem M.  Rajab,,33.13793996,43.84267359,Anbar,Falluja,Camp,,IQ0102-0019-033,IQ0102-0019-033,May,Yes,Yes,2,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,196,75,1,MoMD Tents,75,9,,,,,,,,,,,49,8,9,33,38,59,76,2,0,,11,0,1,0,5,0,0,1,0,0,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",2,Electricity grid,25,Communal garbage bin,36,18,0,"Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,2,4,0,1,40,"0t e0ugh teachers Long distance to travel to school Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,30,,Everything needed is available,Pension from government Humanitarian aid,2,0,DRC IMC IRC ,UIMS ,"DRC other (specify) SSORD, CRS",DoE NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,"other (specify) SSORD, Marcy corps ", ,Dary , , , ,WFP , , ,
Al-Ahel,Ameer Muthanna AL-RUBAYE,,33.29009,44.11229,Baghdad,Abu Ghraib,Camp,,IQ0701-0002,IQ0701-0002,May,Yes,Yes,3,0,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee WASH Committee,Excel based,1,IOM,Camp Management Team Loudspeakers Camp Committees,270,50,0,"RHU (Refugee Housing Unit) Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",,,,,,,,,,110,,,170,57,43,146,170,107,117,26,32,,27,0,17,1,57,2,0,1,0,0,0,0,0,"Low: The campsite is well-drained, yet some areas get water stagnant.",0,Electricity grid,30,Municipal collection,120,120,1,0ne,1,1,0,1,Between 2 and 3 months,0,0ne,0,6,0,0,65,"0t e0ugh schools or classrooms Physical/ logistical constraints Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,0,,Basic medicine Kerosene,Casual unskilled labour Self-employment Humanitarian aid,170,17,DRC IOM other (specify) Al-Murtaqa,DRC IOM ,DRC IOM ,,IOM IRD UNHCR ,Sabaa Sanabul ,Sabaa Sanabul ,IOM Sabaa Sanabul ,MOMD ,Government / Local Authorities Ministry of Health other (specify) ALFA org., , ,MOMD ,MOMD other (specify) Mercy Hand org., , ,
Al Anbar (AAF27),Taha Mounir Khammas,,33.1455081,43.84075934,Anbar,Falluja,Camp,,IQ0102-0019-027,IQ0102-0019-027,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Access Database based,1,IOM,NGO Camp Management Team Word of Mouth,265,70,0,MoMD Tents,200,90,,,,,,,,,,,100,6,4,13,15,32,43,7,14,,30,1,5,0,10,10,1,1,0,1,0,0,1,"Low: The campsite is well-drained, yet some areas get water stagnant.",1,Electricity grid,26,Communal garbage bin,60,20,0,Numerous cases of pregnancy related diseases,1,0,0,1,Between 2 and 3 months,1,0ne,0,5,1,1,70,Long distance to travel to school 0t e0ugh teachers,1,60,,Everything needed is available,Humanitarian aid Social security Casual unskilled labour,50,30,DRC IRC ,IMC other (specify) UIMS,DRC other (specify) Terre des Hommes SSORD,NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Marcy Carps, ,Dary , ,IMC , ,WFP , ,IOM ,IOM
Al Bashayir camp (AAF23),Abdulmohaimen ,,33.13855943,43.84825203,Anbar,Falluja,Camp,,IQ0102-0019-025,IQ0102-0019-025,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,204,9,0,MoMD Tents,82,18,,,,,,,,,,,80,1,2,11,8,30,24,2,4,,13,0,3,1,4,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",0,Electricity grid,25,Communal garbage bin,48,24,0,"Numerous cases of diarrhoea Skin diseases (scabies, contagious rashes, etc.)",1,0,0,1,Every month,1,0ne,0,4,1,1,30,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.) Long distance to travel to school",1,11,,"Tools, hardware and materials",Humanitarian aid Self-employment,17,3,DRC IRC IMC Terre des Hommes ,UIMS ,DRC other (specify) Unk0wn SSORD,UNICEF NRC DoE,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , ,IMC , ,WFP , , ,
Al Fallujah 1 (AAF17),Saddam,,33.14229398,43.84872419,Anbar,Falluja,Camp,,IQ0102-0019-017,IQ0102-0019-017,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Committees,198,12,0,MoMD Tents,86,15,,,,,,,,,,,61,5,6,21,32,35,69,6,10,,17,0,4,0,4,1,1,1,0,0,0,0,1,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,0,Electricity grid,25,Communal garbage bin,48,12,0,0ne,1,0,0,1,Every month,1,0ne,2,4,1,1,25,0t e0ugh schools or classrooms 0t e0ugh teachers Long distance to travel to school,1,10,,"Tools, hardware and materials",Pension from government Social security,2,2,DRC IRC ,DRC Terre des Hommes UIMS ,"DRC other (specify) SSORD, CRS",DoE NRC UNICEF,IOM ,other (specify) SSORD,other (specify) SSORD,"other (specify) SSORD, Marcy corps", ,Dary , , , ,World Vision , , ,
Al Karamah,Anas Hani Ali,,34.691389,43.618333,Salah al-Din,Tikrit,Camp,,IQ1808-0014-002,IQ1808-0014-002,May,Yes,Yes,4,1,Camp Management Committee Women committee Youth committee Distribution Committee Maintenance Committee WASH Committee Other Committee ,Excel based,1,IRD,Camp Management Team Community leaders Camp Committees,1546,780,0,MoMD Tents,630,500,,,,,,,,,,,395,194,167,298,272,168,213,13,34,,9,0,10,1,49,0,0,1,1,0,0,0,0,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,2,Electricity grid,15,Communal garbage bin,176,84,1,"Skin diseases (scabies, contagious rashes, etc.) Typhoid",1,0,0,1,Every month,0,0ne,28,10,1,0,550,0t e0ugh schools or classrooms 0t e0ugh teachers 0t e0ugh learning materials,0,0,,"Basic households items (e.g. mattress, blankets, kitchen utensils) Tools, hardware and materials Kerosene",Unskilled wage labour Casual unskilled labour Low skilled service industry,200,0,Intersos IRC other (specify) BROB,Intersos other (specify) BROB,Intersos ,Ministry of Education, ,UNICEF ,UNICEF ,other (specify) MERCY GORPS,UNHCR other (specify) MERCY HANDS - UNHCR PARTNER,DOH , , , ,MOMD WFP , , ,
Al Najat (AAF25),Abdulmohaimen,,33.14044316,43.84849533,Anbar,Falluja,Camp,,IQ0102-0019-024,IQ0102-0019-024,May,Yes,Yes,3,0,Youth committee Women committee Maintenance Committee,Excel based,1,IOM,Camp Management Team NGO Word of Mouth,250,20,0,Caravans MoMD Tents,125,10,,,,,,,76,,0,0,72,3,3,13,8,33,38,7,5,,12,2,4,6,8,4,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",2,Electricity grid,25,Communal garbage bin,30,18,0,"Skin diseases (scabies, contagious rashes, etc.)",0,0,0,1,Every month,1,0ne,0,4,1,1,55,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",1,30,,"Tools, hardware and materials Basic medicine",Humanitarian aid Self-employment Pension from government,23,6,DRC IRC IMC ,UIMS ,DRC ,UNICEF DoE NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary , ,IMC , ,WFP , , ,
Al Qadiseya complex building,Kahlan Naji,,34.650503,43.662808,Salah al-Din,Tikrit,Camp,,IQ1808-0072,IQ1808-0072,May,Yes,Yes,6,3,Camp Management Committee Women committee Youth committee Maintenance Committee,Paper based,1,DRC,Camp Management Team Community leaders Camp Committees,66,623,0,"Constructed Structure (ex. Housing units constructed by blocks, fully upgraded)",,,,,,,,,,,,,1141,398,403,885,828,357,1286,40,145,,127,0,5,6,10,30,1,1,0,0,0,1,0,Medium: The campsite is subjected to flood during rainy seasons (roads mainly).,2,Electricity grid Generators privately owned,25,Municipal collection,43,43,0,"Skin diseases (scabies, contagious rashes, etc.)",1,1,0,1,Between 2 and 3 months,0,WASH facilities (latrines/ bathing),48,7,1,0,0,"0t e0ugh teachers Limited eco0mic resources (e.g. to pay for school fees, uniform, transport, books, etc.)",0,0,,Everything needed is available,Unskilled wage labour Social security Humanitarian aid,100,200,DRC IMC Intersos IRC UNHCR ,IMC other (specify) Arabic and Iraqi women org,DRC ,DoE Save the Children, ,UNICEF ,UNICEF other (specify) Mercy Corps,other (specify) Mercy Corps, ,DOH ,DOH , , ,WFP , , ,
Al Rayan (AAF31),Saddam,,33.14123536,43.85455437,Anbar,Falluja,Camp,,IQ0102-0019-031,IQ0102-0019-031,May,Yes,Yes,3,0,Women committee Youth committee Maintenance Committee,Excel based,1,IOM,NGO Word of Mouth Camp Committees,245,15,1,MoMD Tents,130,25,,,,,,,,,,,73,4,3,16,18,34,54,4,2,,30,1,2,0,20,3,1,1,0,0,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",2,Electricity grid,25,Communal garbage bin,68,68,0,0ne,1,0,0,1,Every month,1,0ne,4,4,1,1,50,0t e0ugh teachers 0t e0ugh learning materials Long distance to travel to school,1,28,,"Tools, hardware and materials",Pension from government Social security,5,3,DRC IRC Terre des Hommes ,UIMS ,"DRC other (specify) CRS, SSORD",DoE NRC UPP,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps, ,Dary IMC , ,UIMS ,World Vision ,World Vision , , ,
Al Shahuda al Ashwaii (AAF32),Abdulmohaimen ,,33.14710682,43.84417081,Anbar,Falluja,Camp,,IQ0102-0019-032,IQ0102-0019-032,May,Yes,Yes,3,0,Youth committee Women committee Maintenance Committee,Excel based,1,IOM,NGO Camp Management Team Local Authorities,319,25,0,MoMD Tents,209,50,,,,,,,,,,,108,19,9,71,67,123,131,14,14,,20,0,5,6,2,0,1,0,0,1,0,0,1,"High: The campsite is subjected to flood from surrounding lands every time it rains, this effect the roads and communities.",2,Electricity grid,20,Communal garbage bin,80,0,0,"Skin diseases (scabies, contagious rashes, etc.) Cholera",1,0,0,1,Every month,1,0ne,0,4,1,1,60,0t e0ugh teachers Long distance to travel to school,1,30,,"Basic medicine Tools, hardware and materials",Self-employment Social security,18,10,DRC IRC ,UIMS ,"DRC other (specify) SSORD, CRS",UNICEF Government / Local Authorities NRC,IOM ,other (specify) SSORD,other (specify) SSORD,other (specify) Mercy corps , ,Dary , , , ,WFP , , ,
