csv_field,alias,type,category,traffic_light,chart,chart_details
coordinates_latitude,Latitude,decimal,general,,,
coordinates_longitude,Longitude,decimal,general,,,
site_name,Unique ID,string,general,,,
governorate,Governorate,string,general,,,
site_typology,Type of site,string,general,,,
area,Area,string,general,,,
sub_site,Sub-site,string,general,,,
camp_mngt,Camp management agency,string,management,nonered,,
camp_mngmt_office,Camp management office available,string,management,yesgreen,,
camp_mngmt_male_staff,Number of camp management male staff,integer,management,,,
camp_mngmt_female_staff,Number of camp management female staff,integer,management,,,
camp_committee,Camp commitees established,list,management,nonered,,
camp_distribution_announcement,Distribution Announcement,list,management,,,
population_tracking,Population tracking methodology,string,management,,,
presence_of_camp_mobile_team,Presence of camp mobile team,string,management,yesgreen,,
camp_mobile_team_agency,Camp mobile team agency,string,management,,,
plots/occupied_plots,Maximum Occupancy(Plots),integer,shelter,,,
plots/no_of_shelters,No. of Shelters,integer,shelter,,,
has_concrete_slabs,Has Concrete Slabs:,string,shelter,,,
shelter_types,Types of shelters,list,shelter,,,
shelter_types/modm_tents,No. of Plots( with ModM tents),string,shelter,,,
shelter_types/modm_tents_repairs,No. of Plots( with ModM tents requiring repair),string,shelter,yesgreen,,
shelter_types/unhcr_tents,No. of Plots( with UNHCR tents),string,shelter,yesgreen,,
shelter_types/unhcr_tents_repairs,No. of Plots( with UNHCR tents requiring repair),string,shelter,yesgreen,,
shelter_types/afad_tents,Overcrowded family plots,string,shelter,percentagered,,
shelter_types/afad_tents_repairs,,,,,,
shelter_types/other_tents,,,,,,
shelter_types/other_tents_repairs,,,,,,
shelter_types/caravans,,,,,,
shelter_types/RHU,,,,,,
shelter_types/improvised_makeshift_shelter,,,,,,
shelter_types/semi-permanent structure(plastic sheeting_corrugated_iron),,,,,,
,Total HH,integer,general,,,
total_hh/total_families,Males: 60+,integer,demographics,,age_pyramid,m
ind_ages/ind_age_groups/males_60_over,Females: 60+,integer,demographics,,age_pyramid,f
ind_ages/ind_age_groups/females_60_over,Males: 18-59,integer,demographics,,age_pyramid,m
